,t1,t2,t3,t4
0,1708611878.702073,1708611877.373175,1708611877.3816378,1708611878.784854
0,1708611878.920372,1708611877.590955,1708611877.595246,1708611879.000484
0,1708611879.116769,1708611877.825669,1708611877.8383172,1708611879.23471
0,1708611879.485777,1708611878.283655,1708611878.2918198,1708611879.697735
0,1708611879.855666,1708611878.526858,1708611878.530168,1708611879.929757
0,1708611880.142047,1708611879.513662,1708611879.517039,1708611880.967361
0,1708611881.093984,1708611879.921607,1708611879.928303,1708611881.52941
0,1708611881.658841,1708611880.334104,1708611880.337925,1708611881.746499
0,1708611881.863104,1708611880.533506,1708611880.546551,1708611881.950371
0,1708611882.135888,1708611880.954725,1708611880.958965,1708611882.36685
0,1708611882.554155,1708611881.356882,1708611881.3669782,1708611882.768274
0,1708611882.990606,1708611881.76654,1708611881.779607,1708611883.190881
0,1708611883.449792,1708611882.994948,1708611883.000512,1708611885.633224
0,1708611885.773666,1708611884.443179,1708611884.443179,1708611885.861157
0,1708611886.001291,1708611884.837132,1708611884.844773,1708611886.264686
0,1708611886.384042,1708611885.054205,1708611885.0625079,1708611886.808154
0,1708611886.942347,1708611885.659314,1708611885.6694388,1708611887.073092
0,1708611887.20641,1708611885.877547,1708611885.88848,1708611887.298162
0,1708611887.442277,1708611886.273307,1708611886.283473,1708611887.683244
0,1708611887.840404,1708611886.510598,1708611886.518236,1708611888.553999
0,1708611888.764058,1708611887.432914,1708611887.44053,1708611888.916764
0,1708611889.041691,1708611887.909742,1708611887.91401,1708611889.321602
0,1708611889.444269,1708611888.118216,1708611888.123751,1708611889.524443
0,1708611889.646071,1708611888.315335,1708611888.325481,1708611889.726774
0,1708611889.852659,1708611888.522514,1708611888.533986,1708611889.9406
